web-scraper-order,author,title,content,positively_rated
1578435552-7745,Melinda J.,Great price,Great price and easy to put on,1
1578434783-4925,DeanOfDreams,Solid product - 100% pleased,"Often with products, the directions are a mess and you have to guess at how to assemble. Not with this one. The directions were simple to follow and application was easy. The one thing that wasn't mentioned was potential bubbles under the cover, but with firm pressure those were easily removed. I like that the fit is so tight that it doesn't affect use of a case.",1
1578435539-7695,nora,Esta muy bien,"Muy buena explicación para su colocación, buena calidad, parece resistente.",1
1578434661-4479,Jaron,Perfectly clean and clear glass!,"Just received this in the mail today, and all in all I can say I’m content with my purchase. I’ve applied it this afternoon, and after hours of inspecting it, and testing it out it proves to be a great protector. Everything is literally crystal clear, and it looks as if nothing is applied at all. It has a very nice feel to it. My finger feels very comfortable gliding across the glass. It arrived in a book like premium case so it wouldn’t get damaged during shipping and handling which is very great. It also came with clear and easy instructions on how to install it on your iPad. The only thing is that the guidelines didn’t help me all that well, so I chose to install it without it. Now it worked for me because I’m used to installing tempered glass on phones so I know how to install them without additional help, but I’m not trying to discredit their use. They just weren’t for me. My installation came out fine, and I’m happy. Unfortunately after examining it I somehow got a teeny, tiny black spec of debris on the bottom left corner of my iPad, but that was my fault as I was rushing. You’re going to experience bubbles as that’s something that generally happens with all protected but a good firm push right after you apply the protector, and they’ll smooth right out. If I ever need a new protector I’ll definitely re-order from this same company! I have pictures for your convenience.",1
1578435491-7512,Amazon Customer,Great choice!,Great fit! Easy application and seems to be very durable!,1
1578434772-4888,Brian Knaus,Highly recommended,"Just installed this on my iPad today. Directions were very good and the package included wipes for the iPad screen. There was a wet wipe, a very soft dry one and a sticky plastic one for the final removal of any dust. It even came with sticky ""hinges"" for proper positioning after removing the film from the inside of the glass. It adhered to the iPad screen perfectly and the protector feels great. Very smooth to the touch. Extremely happy with the quality and price. I got an iPhone 7 from the Verizon store recently and a similar protector was around $45. Absolutely no difference in quality.",1
1578435081-6044,Amazon Customer,LOVE IT!!!,"Best screen protector ever!!!I got this screen protector for my ipad pro 9.7 inch. It works great as described. It was my first time installing a screen protector and it went on easily and works flawlessly. There were few air bubbles right after the installation but I was able to push it out except for one tiny air bubble, but that too disappeared after 48 hours!!! And I love how smooth my apple pencil glides on it when I'm writing or sketching! Such an excellent product for a cheap price!",1
1578435542-7706,M.Anne,Good product,Good product! Would recommend!,1
1578435982-9337,Garth,Very good product easy to install,One of the easier screen proctors it not the easiest to install I have ever used,1
1578435008-5776,Izzy's Mama,Easy to apply,Was easy to install and manufacturer directed user to u-tube videos which I found really helpful. Helpful application items included. I was dreading the process and it ended up being quite easy to apply. I recommend it.,1
1578434796-4975,vash,Scratches easily,"This screen had so many scratches. I don’t expose my iPad to a lot of stuff (it has a case covering the screen) and yet this screen protector gained so many scratches. Definitely not scratch resistant so I wouldn’t recommend it if you have an Apple Pencil. I was worried about damaging my pencil so I took this off & bought a different one. It did protect my screen I guess. 3 stars for that.

Update: Seller has contacted me and stated this is an irregularity so I will give it another go. 4 stars.",1
1578435862-8899,Tom Kite,I feel ‘shorted’,This protector does not fully cover the front. It covers the bottom over the home button but ebds BEFORE the camera lens on the front.  Needs another .5” to be fully protective. I feel “shorted”.,0
1578435747-8495,Allene Roberts,Graat,Great,1
1578434916-5422,C. Luckie,Protection is key.,This was ordered to go on my granddaughter's new ipad.  We took it to the local cell phone store and they graciously applied it for us.  We were told you definitely need to apply this correctly the first time as it is almost impossible to have to redo.  I feel sure it will be a good layer of protection....at least time will tell.,1
1578434986-5700,Vicki Z.,Easy to install,This came well packaged and with clear directions. There was a very clever way of fitting the screen before peeling the backing off.  Follow directions for pressing in the middle and smoothing outwards to avoid bubbles. Took me two minutes to install.,1
1578435762-8542,Roy Dasilva,Excellent all around!,"Excellent packaging.  Fit my New(2017) iPad 9.7"" perfectly. Everything you need to install was included and the process was easy. It adhered well and there are no bubbles.",1
1578434965-5612,Rick006r,the packaging was also excellent. trying to get any screen protector correctly aligned ...,"I was very impressed with the quality of the product, the packaging was also excellent.  trying to get any screen protector correctly aligned is a pain, but I was able to reset this one several times once I got the hang with it and it still set down with zero bubbles, etc. with a bit to patience and slow movements.  The quality is as good on the touch input quality as without a protector on the iPad.  Overall, this is the best screen protector I have yet bought and used.  Five stars.",1
1578434760-4831,Jeffery D. Sproul,Beautiful fit! Purchased multiple times!,"Easy to apply! Yes, there were at least three bubbles I just could squeeze out. The next afternoon I checked and they were gone! Very clear, no bubbles and I'm a happy camper! Would recommend this to family & friends.
10/23/2017 Update: Bought another one for the wife’s new iPad. Installation was even easier the second time! Beautiful fit, and crystal clear.
08/16/2018 Update: Bought another one for a new iPad. Installation was a breeze, just watched the video on YouTube because it’s been a while. No issues again, crystal clear and so clean. No one even notices it’s there. 👍",1
1578435859-8882,Amazon Customer,Great product!,This was the easiest screen protector I have ever installed! The instructions were clear and concise. The guide tabs make lining it up a breeze. And best of all - no bubbles! I would purchase this product again.,1
1578434948-5546,Lou Tess,Awesome! This is the one to get!,"This is a great screen protector. Very easy to install just follow a you tube demo and you'll be done in 3 minutes no bubbles. I have not had the misfortune to test its protective qualities, but from what I can tell - this is a great product. At minimal cost you can protect your expensive iPAD. Delivered as advertised and quick. This is the one to buy.",1
1578435920-9109,Kim,Five Stars,Easy to install and clean.  Glad I got this for my new iPad.,1
1578435884-8980,Amazon Customer,but I followed the video (as suggested in the directions) and it came out beautifully. No issues at all,"I was a bit nervous about shattering the protector or ending up with air bubbles, but I followed the video (as suggested in the directions) and it came out beautifully. No issues at all. Just be sure to follow the video suggested. I watched several other videos, but the video recommend by SPARIN was the simplest (that I watched) and the results were flawless.",1
1578435432-7313,DeAnna B,Great buy,Great buy,1
1578435052-5938,PJ,Little problem with scrapping bubbles out from underneath when applied,"Had a little problem with getting all the bubbles out, it took a few days... but has protected my iPad screen  well",1
1578435892-9008,Jason C.,Five Stars,"Easy to install, no bubbles. Looks like it will provide excellent protection for my new iPad.",1
1578435961-9256,Robbin,Great,I can use my pen with this screen. It is clear and came with assisted tools to place on.,1
1578435702-8325,rjbh,Just perfect,"Beautiful.  This was very easy to install, easy to follow directions for a crystal clear screen.  It's as advertised, only better.  I highly recommend this product",1
1578435773-8581,COLE,It came in great packaging that was undamaged when receiving it,It came in great packaging that was undamaged when receiving it.  The installation was very easy & I believe it will protect my IPad for a long time.,1
1578435423-7284,Lowrainr911,Totally disappointed. Don't waste money,2nd time buying. 2nd time disappointed. It is bubbling at the bottom. No way to get the bubbles out! So disappointed! Followed the directions to a t; still didn’t go on without bubbles. Going to look at a different brand.,0
1578434710-4660,Mainette B.,Don't hesitate...buy this product from this seller!,"I don't normally write reviews, but I just had to take a minute to let you all know how wonderful this product and this seller is. This is a beautiful tempered glass that fits on my iPad Pro 9.7"". It does not impede the sensitivity of the screen. The slightest touch of my fingers transfers right through this glass. My iPencil also works flawlessly as if there was no glass cover. Since it is tempered glass, there is no scratch marks or clouding of this screen protector.

The company is also a joy to work with. I need to have a replacement sent for my husbands glass. He's so cute, but not well trained. All I had to do was email the seller with my request. They answered me immediately! Asked a few questions, and then sent out the new one. The whole process took less than 5 days! That is what I call awesome customer service!

I will always order screen protectors from this seller. I was not paid for my opinion. I'm just a very impressed amazon customer.",1
1578434723-4703,Grace,Great screen protector,This is a great screen protector but I highly recommend to be careful to not have any lint on either the iPad or the screen protector before placing it on your iPad. The slightest particle of dust will create a bubble.  If you’re very careful it will turn out perfect. The customer service was also exceptional since I did not install it correctly and created bubbles. They sent me a second one for free.  That’s what I call excellent customer service. I’ll be a customer for life.,1
1578435253-6684,Kris Ibarra,Good quality,Really like this protector and easy to install,1
1578435078-6037,J  Smith,I let professionals put it one for me BUT,I let Verizon install it  and this has air pockets and the corners  are not down all the way after a few weeks of use. this is why i did not give a good rating !!,0
1578434707-4641,Jennifer,Durable once installed.,". Love this screen protector. Had two for iPad 2gen. Bought this one for new iPad. Installed it perfectly this time : Home button hole and no bubbles. If you have not installed a screen protector, follow the instructions! And gently take your time.  Most likely will get several bubbles. Use the included cloth under your thumb and (sort of) firmly push on backside of bubble toward the edge. Be patient and keep working it to the edge. Took my time doing this. DONT LIFT THE PROTECTOR.  I bought an Apple pencil. Haven’t used it yet so can’t comment on how surface holds up with pencil usage.",1
1578435253-6689,Kindle Customer,Easy installation,"Only received this screen protector in the mail today so I don’t know how well it protects the screen, but the installation was a breeze.  If you read the instructions and watch the video there should be no problems applying it.  Also the screen protector is practically invisible once it’s on...",1
1578435982-9334,Greg,Excellent Product,Excellent screen protector that is very easy to install,1
1578435036-5874,Saul G.,"the product does what it's say and even though the protective glass broke the screen is in perfect condition, the costumer service is excellent nothing to ...","I ordered two of this my for kids, the product does what it's say and even though the protective glass broke the screen is in perfect condition, the costumer service is excellent nothing to complain about, for sure will relly on this brand wish is cheaper than others and do the same",1
1578435058-5956,Amazon Customer,and the product feels great once applied,"The other reviews did not lie, the package was very premium, maybe over packaged, and the product feels great once applied, no plastic feeling at all.
Update, Nov 2017 dropped my pad, protector is broken but actual screen in tact. Thanks!",1
1578435687-8270,Grandaddy A,Better than film protector,Good screen protector,1
1578435144-6288,JD,Good quality,"We use these for outdoor work, they have been holding up good so far",1
1578434851-5182,M. Glasgow,Useless,"No instructions in the package, they want you to go to YouTube and watch a video, which is tough to do when trying to follow along, since I'm watching on the device I need to put the screen protector on.  The guides are a joke, I could never get it to line up so that it completely sealed.  After a few attempts the sticky part of the screen managed to pick up dust particles from the air rendering it useless.  I want my money back.",0
1578435253-6688,Barb,Great cover,Great screen cover. It was easy to put on.,1
1578435747-8496,sewing girl,Five Stars,Easy installation and seems to work great.  No problems.  Will order again when the need arises.,1
1578435638-8075,Amazon Customer,Excellent product,"Wow, this screen protector was packaged so well to protect it for shipping. It came complete with everything to insure a bubble and dust free application. Very easy to use.",1
1578435036-5873,MAB,Great product!,"The Sparin screen protector is really great; it fits my iPad Pro 9.7 precisely and it looks fantastic. It was relatively easy to install, but expect a lot of steps to make sure that the screen is dust and dirt free. Also be sure to watch the video on YouTube for an easy to follow demonstration. I am sure I will never purchase anything but Sparin products for all my screen protectors in the future.",1
1578435071-6004,Larry Larkins,iPad Screen Protector,"Excellent protector, really good instructions for installation & fit was perfect. Should I have need for another screen protector in future would not hesitate to purchase this product again.",1
1578435516-7605,nbtermite,Fit perfectly,Easy application and great quality.  Package protected the product well.,1
1578435316-6903,EJM,Awesome Product...Glad I Bought It,Great product.  It performs as advertised.  Love it.,1
1578435948-9213,Oscar,Five Stars,"Good screen protector, easy on and great instructions.",1
1578434695-4594,Alison M Lechowicz,"Sturdy, decent for the price, and keeps screen safe","I purchased this for an iPad that my 9 and 10 year old boys use. I am sure their hands weren't the cleanest (they are boys after all) but the screen protector definitely needed to be cleaned after each use because of all of the smudges. After a month's use there were several scratches on the protector, which is fine because that is its purpose but I wouldn't necessarily say it is scratch resistant. Even though it isn't completely smudge proof or scratch resistant, the actual screen on the iPad looks brand new when replacing the protector so it definitely serves its purpose! Will definitely buy again.",1
1578434864-5234,Herbert Dicker,Great product and better customer service.,"My first effort with this product was not successful as I was left with air bubbles and dust spots that wouldn't go away, despite following instructions.  The seller responded promptly and sent a replacement, which I just installed successfully.  It went on without a hitch, there are no air bubbles, and it looks terrific.  I  highly recommend this product, but be sure to view the YouTube install video prior to using.",1
1578434921-5441,Bruce A. Berg,Item packaged better than it needed,"Item packaged better than it needed, but well done.  All the pieces easily identified and instructions easy to follow.  Went on iPad pro after cleaning, but wound up with a dust particle, so removed glass and used dust sticker and then reapplied protector.  Touched the center and it ""sucked"" itself on to the iPad.  Great protector, works well with apple pencil also.",1
1578435879-8953,Bdunn,Works perfectly!,This is the second screen protector of this kind we have purchased for our ipad. My son dropped our ipad outside on concrete and the screen protector cracked but protected the iPad perfectly! Installation is a breeze!,1
1578435095-6091,Sheila,Nice,Works great and went on very easy. You definitely need to protect your investment,1
1578434796-4979,lucky48,Good protector for the price; easy to install,"First time using a sparin protector and very easy to install.  The one downside is that even after using the sticker to remove dust from the surface of my ipad, I still ended up with a speck and it's quite noticeable but it's in the middle of my screen and a bit difficult to remove.  So far, it has done what it has promised and that is no bubbles.  I've been using it on a 6th generation with my apple pen and really pleased with the quality.  Might actually buy the iphone version too, after I have a bit more of a chance to see how this holds up with extended use.",1
1578434825-5084,David B. Posner,"good protector but installation instructions could be better, great customer service.","It works well but the installation instructions could be better.  It is easy to start the installation with the wrong side up.  There also should be a rigid scraper to get rid of bubbles-I had one from a previous protector that I used.  Other than that, it is a good product.
I wound up changing this from 3 to 5 stars.  With the first post, they contacted me and offered a free replacement if I was unhappy in any way.  Excellent service.",1
1578435829-8772,Edandburied,Great customer service.,Great product. Completely as described. Customer service is fantastic. Will order more in future as needed.,1
1578435052-5936,Nicole_D,very easy to use,"very easy to use, the most easiest one ever tried. I have been using different screen protector for my iPhone ,iPad for more than 6 years. This is the best,everything done in 5 mins, no need to fight with the bubbles, no need to worry about failure. Love this.",1
1578434995-5728,Grandma Rubman,Finally! Easy No Bubble Screen Protector,"Excellent! Just follow the directions and it works great. Hint: once you are ready for the last step (taking plastic off sticky part that adheres to iPad screen) - Like magic - Just push your finger in the middle of the screen (as directions State) and no bubbles. After all these years I found one that works. Thank you. (BTW - no one told me to write this - I am just happy)
Plus it comes in fancy packaging.",1
1578434659-4462,Skizzie1,Excellent protector,"There were a lot of extra items in this kit to make sure it goes on correctly. I had no trouble actually putting it on and I didn’t need all of the extras for help. My issue is that I have lots of pets so flying pet hair IS a huge problem for me. So I had to do some prep work before attempting this. I cleaned my smallest bathroom and turned it into an actual “clean room”. I turned the exhaust fan off and central heat off so NOTHING would be flying around. I put on a full clean room suit, covered my hair and shoes. JUST KIDDING😹, but I did change my clothes so they were fur-free! Then I started the procedure: I cleaned the screen with their clean and dry wipes, then applied the protector as instructed. MOST IMPORTANT PART IS LINING IT UP! You really only get one shot because it will crack if you try to move it so make sure you are on target. Luckily I nailed it the first time and it went right on perfect! There was not a bubble, speck of dirt, or cat/dog fur to be found under the screen! I used the squeegee card to make sure it was completely affixed and VOILA! It is perfect. So most of you will not go to my silly extreme measures, but I have gone thru these things like qtips because of just haphazardly throwing them on. So it was worth the prep time to ensure this one did not end up in the trash. It is shiny and sooo strong and yet all of my touches and stylus work great with no issues. Hope it lasts and I don’t have to go thru this for a long time! Good luck. Let me know if this helpful to anyone.",1
1578435843-8829,EVER #1,Happy customer,Very easy install! I'm very pleased with my purchase!,1
1578434732-4738,Rebecca C.,Great price!,"After a disappointing experience with another screen protector from Best Buy I turned to trusty Amazon for a glass screen protector for my husbands iPad. This one was literally a third of the cost of the one from Best Buy so I figured why not try it. The product arrived well packed and protected, on time of course. Everything I needed to clean the screen and apply the screen protector was included, as well as detailed installation instructions. Within a few minutes it was in place and ready to go. No smudges, no scratches, and it's still every bit as sensitive as the screen was without.  My husband treats the iPad like his baby so we haven't had occasion to test the durability (hopefully we never will lol he may have a heart attack) but this far we are pleased with the product.",1
1578435677-8227,Denise Stroud,Perfect,Durable and easy to install,1
1578435097-6110,Veronica H,Fine,Was difficult to put on but once on it does the job. Not anti glare or anti smudge though.,1
1578434757-4828,Mindy Evangelista,"Best ipad protection ever, spend your money wisely","I have had meny screen protectors for all my cell phones and tablets. This one was the best and easiest to install without any bubbles 1st time try. Delivery was in 2 days, compliment to the seller. My new iPad is now protected, no scratches, bubbles and you can't even see that it is on it. I'm very happy with this product. Do not hesitate to buy from this seller. I'm not related or affiliated to the seller, I'm just happy costumer. Thank you so much.",1
1578435542-7709,Vince,Nice design,"quality product easily installed, would purchase again. thanks",1
1578435396-7189,Ashleigh Blandin,Good product,"More difficult to install than competing brands, but also less expensive, so there's that. Looks good and works well.",1
1578435664-8171,Nick Miller,This is a great product and I'm glad I went with it,This is a great product and I'm glad I went with it. It's significantly cheaper than purchasing the tempered glass they sell in stores and it comes with a kit that let's you get your iPad completely clean before applying it. It also helps it get perfectly aligned so it's not slanted on your ipad. Once it's on you can't even tell unless you're pushing the home button where you'll feel the cut out in the glass.,1
1578435925-9128,sharon butler,Love it,Looks great I think we made a good choice,1
1578435263-6726,JT,Great value for product and installation instructions,"I’m really impressed with the thoroughness if this product! It comes with more than enough instruction to put it on properly, including a nice video link.

All the cloths you need to do this well are also provided. Great value.",1
1578435991-9361,Chris P.,Snapped during install,"Installed per instructions but as I was gently flipping it over to attach to my ipad, it bowed slightly and totally snapped into about 5 pieces.",0
1578436006-9412,Rick Barnes,Good case for Ipad,"Case appears to provide drop/breakage protection as stated in description. Concerned that latch may wear and fail in near future.  Otherwise, great product.",1
1578435989-9353,James S. Goulding,Super Easy to Install!,Absolutely a snap to install! There is a short how-to video on YouTube but the self-adhesive protector did all the work. No weird air bubbles! Highly recommend!,1
1578434879-5293,Kathleen Korner,"Light touch, easy to install.",Very happy with this screen protector.  It was easy to put on my iPad and has a great light touch. The protector I had on before required me to hit the keys harder and I like this one much better. Smudges somewhat but they all do. Very happy and would refer my friends.,1
1578434707-4649,SG,Fits great. Watched the YouTube video and followed all the ...,"Purchased this for my new IPad WiFi. Fits great. Watched the YouTube video and followed all the instructions. Was ready to pull my hair out when I noticed a small bubble on the bottom corner... but then I realized that a piece of my hair already fell onto the screen between the screen protector. Fail. Put the IPad into its case- another bubble. So, two bubbles and a hair later... I have my unique IPad in its case with a screen protector and I'll always know which device is mine!

Update: Lifted bottom corner, hair removed easily *phew* and now the bubbles are smaller.",1
1578434690-4574,AnnieDay,Happy customer,"Tried doing my iPhone yesterday, which turned into a 45 minute process to get the glass cover on perfectly.  The iPad cover was a completely different experience.  Cleaned the screen, wiped any lint off the cellophane side of the screen protector, taped it down, saw that it would fit just right, then pulled off the cellophane cover.  Seated the glass.  Dang.  Two small bubbles.  Pulled the glass up again, almost all the way, then dropped it on, and poof, bubbles gone.  One tiny one in the corner which was dispensed with the edge of a credit card.  All in all, the installation didn't take ten minutes.  Very happy with this product.  I just had to replace my NEW iPad that had a shattered screen and didn't want another opportunity to clean out my wallet.",1
1578435928-9132,papab1,Five Stars,Fits perfectly and so easy to install. Loved it!,1
1578435034-5867,AB,Too many bubbles despite cleaning,"I bought this for my new iPad to protect it's screen. Read the instructions and cleaned the surface, and yet multiple bubbles formed after applying it on the screen. Decided to remove it to preserve the aesthetics of the screen. Will buy a cover from a different brand now.",0
1578435205-6506,Vanessa,Great product!,Still working strong with two little girls dropping my iPad all the time!,1
1578435155-6322,Fillerup,Update!,"Had previously given low rating because of incompatibility with KAVAJ leather case. Sparin immediately contacted me and arranged for complete refund. No problem installing protector, and appears to be high durable quality. Tight tolerances prevented on/off switch of IPad to function properly.",1
1578435911-9073,Delano J,Nice,Easy installation and nice smudge proof screen,1
1578435486-7496,Erica Bihm,Great quality,"So far, so good. It’s easy to install, and I can’t even tell there is another screen on my iPad.",1
1578435484-7486,Daniel T. Tafolla,Wasted My Money,"I followed the instructions to a key but there were several spots that refused to adhere, guess I should have spent a few more bucks to get a good protector. The protector was installed on a brand new iPad that I removed the protective layer from just before cleaning so there was no dust.",0
1578435750-8510,Rafael R,I could not be happier. It feels great when I touch--I prefer the ...,"Installing the protector was a bit of a challenge for me.  Once installed, I could not be happier.  It feels great when I touch--I prefer the feel to the screen on the iPad.  The Apple pencil works fine with it and it's easy to clean.",1
1578435941-9184,courtay,Five Stars,Easy to install on iPad. Great fit,1
1578435097-6104,Tommy,"Simple, easy, looks great!","My last screen cover broke. Bought this for much cheaper then I would in Apple/AT&T store. Came with cleaning pads, simple instructions and stickers to make sure it goes on even and smooth. Very easy, looks great and now my iPad is safe again until I crack this screen cover. At least it’s not my actual iPad screen!!",1
1578435808-8705,Twin,Awsome,Awsome,1
1578434684-4555,Jake,"High Quality, Good Support Material","This glass protector was extremely easy to put on. I just used the wet alcohol wipe to clean the screen and then the dry one to clean it up. Then I peeled the plastic off of the protector, lined it up on a corner, and then started laying it down from the top right corner to the bottom left corner. It got a bubble, but I just lifted and put the screen back down till it went away. It does seem to get some smudges on it, but my fingers just seem to smudge screens more overall. I feel really good about the protector if I were to drop it, and the price can’t be beat for the items and support included in the package. The packaging was surprisingly high quality as well.",1
1578435078-6034,Kelly O,Does it’s job,"These have saved my grandsons iPad twice now from disaster. The glass cover does its job and  cracked, but saved the screen of the iPad from cracking. He’s 5  and very hard on his iPad, it’s also in a padded  protector .",1
1578435972-9298,T. Taylor,Super clear and very easy to install,This is great!  Super easy to install.  Very clear.  I love it.,1
1578434695-4599,OnDaReglah,Quality control an issue. EDIT,"Having put on multiple screen protectors over the years, I set out to put this bad boy on with as much finness as all the rest. Alas, there was clearly dust particles underneath the protective film, rendering it impossible to have a dust free application. It fits perfectly on the iPad and you can’t tell that it is even there (except for the dust particles that were already on the screen protector when I received it). The hinge stickers are useless and make it more difficult. Practice on your own with the adhesive back on the protector first before committing to using them. Would have been a 5 star product but quality control seems to be lacking unfortunately.

Edit: After reaching out to customer service about the damaged product I promptly received a replacement. The replacement was much better. Easy installation and can't even tell that it is on the iPad. Great product, great price, and amazing customer service!",1
1578435000-5741,Roxy,Nice screen protector.,This screen protector is very nice if prepped to install correctly.  Great appreciation of how you handled the transaction.,1
1578435684-8252,Harper’s Mommy,Five Stars,Best screen protector for your money. Fits well in all iPad cases. Will buy again for next tablet.,1
1578435152-6316,Tanya,Easy assembly!,"I love that it had everything I needed to be able to put on as accurate as possible. And it was a piece of cake. Screen looks clear and so far I absolutely love the glass protector. I didn’t rate durability yet. Because I’m yet to test that part. But besides that, all and all... I recommend this product!",1
1578434734-4750,susan,Did not adhere to device in several spots,"I ordered this in Nov ‘18 and just got around to opening package and trying to install it.  I read instructions and watched video and then proceeded to try to install while watching video again.  I could not get protector to stick without failure places even though I cleaned and dust cleaned thoroughly.  Very disappointed and I’m wondering if it is a failed product or just the one I got.  I will have to replace, but first would like the company to respond.  Interesting that no dust could be seen.  There was failure in the ability of screen to stick in places.",0
1578435287-6814,David J Pruiett,Good quality.  Easy to follow instructions.,Instructions were clear and easy to follow and the kit comes with everything you need to prep and then install the screen protector.,1
1578435044-5910,Fay,Not satisfied with this screen protector.,The glare on this is awe full and it is constantly smudged.  It did not help to keep my screen from fracturing either.,0
1578435914-9081,Ms.Lady,Five Stars,Great for my ipad,1
1578435439-7340,Sally Ferguson,Fast shipping- great product!,The screen protector arrived quickly and was easy to install. It fit our son's iPad perfectly 😁,1
1578435739-8463,Carlton E. Wilson,Four Stars,Little hard to install,1
1578435906-9057,Christa,Five Stars,Easy to use and fits great!,1
1578435661-8165,Howard C. Ott,Easy to install,"Was fairly easy to install, much more so than others that I have tried. Really nice and clear and did not effect screen response at all. Very Happy  I would definitely recommend this item. Had problems with delivery but not Sparin's fault.",1
1578434911-5407,Diva D,Already broken. :(,"The price was right and it had good reviews, but within months the glass broke and was scratched.  It dropped onto the carpeted floor.  I have had other glass screen protectors that have received more abuse and handled it better than this glass screen.",0
1578434791-4953,jennayrich,Easy Peasy Installation,So easy to apply -- I've applied screen protectors before to other devices and this is one of the easiest. Biggest trouble I had was trying to keep dust particles and dog hair off the sticky side before applying which is hard in this house. Had to lift it up a few times to get the dust particles off but it's really easy to lift off and put back on. Comes in really good packaging too considering the price. I didn't use the guide stickers at all -- they seem like more of a hassle than anything and it's not that hard to line it up without them.,1
1578435731-8433,mimc,This was SUCH a nice product for the cost,This was SUCH a nice product for the cost! It is a thicker clear protective sheet. It also includes explicit directions on how to apply it to your ipad. I was worried that it wouldn't fit the ipad5 but it works perfectly! Thank you!!!!,1
1578435974-9302,Amazon Customer,Do not buy,This iPad can not do any thing it is tooo old to download any apps it was a waste. Of my money !! If I could give a zero star I would,0
1578434749-4791,Mike Whitebread,Possible QC issue,"I bought 2 of these for my wife and I’s iPads. The first one went on without any trouble and looks just fine. The second one has little what look like surface imperfections that prevented it from fully attaching to my wife’s iPad. Overall mine is great, but I’m disappointed by the second one. I’m going to contact the manufacturer and see if they’ll send a replacement. I’ll update this review after that.

UPDATE: They sent out a replacement and its perfect, so I guess that was one bad one. They look great and the replacement went on like a charm.",1
1578435005-5770,Mary K.,Good Glass screen cover,This fits my new iPad 9.7 perfectly.  It was easy to install and left no bubbles when placed.  It is thin and works fine.  Definitely recommend.  It comes 1 to a package.,1
1578435460-7409,Caroline,Great iPad protector!,Great protection for my iPad!,1
1578434858-5220,dbl,but I had to mention how amazing this screen protector is,"I don’t review many products, but I had to mention how amazing this screen protector is. I’ve never liked the feel of my iPad Pro 9.7 screen. I think the coating is different to accommodate the Pencil. I decided to try this screen protector to improve the feel of the screen and reduce smudges, and it has paid off. Using the iPad is so much more enjoyable now. I found it easy to apply. I’m very picky about mobile cases and screen protectors, and this one far exceeded my expectations.",1
1578435454-7390,nole1964,Great screen protector!,Works great on my iPad 9.7”,1
1578435213-6537,Emily V,"If you want to protect your screen, this is a great option.","This is a good quality screen protector for its price. The process to install was very simple, as there was a small instruction booklet. What mattered to me the most was the responsiveness of the Apple Pencil with the screen protector - IT WORKS GREAT AND THERE ARE NO ISSUES. If you want to protect your screen, this is a great option.",1
1578435731-8434,Jeanne G,Great product!,Easy installation,1
1578435087-6067,T. J. L.,"Great IPad cover fast shipping, great price, NO BUBBLES 🤩 😃. I couldn’t be happier. Thanks amazon!!","Worked great, easy to place on My IPad!!  That’s a plus because I have had many difficult ones in the past.  Good guality.  NO BUBBLES 😃 🤩",1
1578435956-9250,Amazon Customer,Nice quality!,Excellent product!,1
1578435684-8259,Amazon Customer,Easy and Clear,Easy to use and apply and fair priced!,1
1578435920-9110,workfromhomemom,Best glass screen protector installation ever!,Awesome tempered glass screen protector for iPad! Secure packaging and super easy-to-follow installation directions. Went on first time in perfect position & bubbles pushed out easily. Wow!,1
1578434783-4923,Poppy,Perfection.,"Amazing product! It worked as advertised. I have installed similar products on iPads and iPhones in the past and I struggled with them. Not so with the Sparin Glass Screen Pro. I had the iPad cleaned and Glass Screen installed on the first attempt, less than five minutes and not a single bubble or imperfection! Very impressed; highly recommended.",1
1578434744-4775,Tirush,Sparin Tempered Glass Screen Protector for iPad Air,I am a firm believer of tempered glass screen protectors. I dropped my iPad that I installed one of these screen protector on. The protector was cracked but not the screen. I was so relieved when I removed the cracked protector and saw the cracks were just on the protector and the screen was unharmed. Ordered a replacement Sparin tempered glass protector. Amazon Prime had it here in 2 days. The installation was simple. Just take your time & be sure your screen is clean.,1
1578435456-7396,fo,It's quite difficult to install the screen without the bubbles ...,"It's quite difficult to install the screen without the bubbles, but the customer support is superb, they even have provided me with the free screen, when I ruined the first one.",1
1578434786-4933,Melisa,"Be careful laying it down, bubbles are impossible to get out.",There needs to be a way to eliminate bubbles. I tried carefully lifting the protector and it cracked. I work for a sign shop and deal with laying down materials all day everyday and have never had as much problems with bubbles as with this. Aside from that the picture quality is good and I don’t have any issues using the touch screen.,0
1578435274-6766,Robert W. Green,Would buy again,Good product. Has everything you need. The only complaint I have is there was one small bubble I couldn't get out.,1
1578435224-6577,SSSbluefrog,Good instructions,Good instructions and helpful guide for installation.,1
1578435357-7055,Davy F,Works well and fast.,Love the iPad. Completely satisfied with it,1
1578434667-4495,Derek,Had this on my wishlist for far too long,"I have owned my iPad 6th gen for almost a year and ever since I bought my first case for it I received recommendations to buy this screen protector. It wasn't until recently that I finally caved and bought it. Boy, do I regret tabling the decision for so long.

This screen protector works with most of the cases I own for my iPad and it does not impede the movement of the Apple Pencil or Logitech Crayon as the glide across the screen. Install was much easier than I thought it would be. Just watch the video and take your time.

This screen protector is well worth the price and effort needed to properly install it. It's the #1 rated glass screen protector for the iPad for good reason. It works!",1
1578435357-7056,Amazon Customer,Great product!,Put this on my iPad and love it vs old screen protector. Plan to get one for iPhone & husband's tablet. Just the feel of it and then the look & ease to keep clean makes things better!,1
1578435412-7242,Wendy,Apple Pencil works great with this protector,Super easy to install! Works very well with Apple Pencil.,1
